business,address,business_certificate,business_id,city,latitude,longitude,owner_address,owner_city,owner_name,owner_state,owner_zip,phone_number,postal_code,tax_code
CAFE X + O,1799 Church St,347603,56,SF,37.7423,-122.426,1799 CHURCH,SF,"BOUSIAKIS, ADAM",CA,94131,14155823535,94131,H24
Viking's Giant Sub,2906 Diamond St,394724,507,SF,37.7334,-122.434,2906 Diamond St,San Francisco,Steven Chang,CA,94131,null,94131,H24
POMELO ON CHURCH,1793 CHURCH St,303642,1151,SF,37.7423,-122.426,1793  CHURCH St,SF,"LIOTARD-VOGT, EMMANUEL & ROLF",CA,94131,null,94131,H24
HIGHER GROUNDS,691 CHENERY St,134909,1339,SF,37.7345,-122.434,691 CHENERY ST,SF,"JWEINAT, MANHAL S.",CA,94131,14155582933,94131,H24
PEBBLE'S CAFE,2852 Diamond St,349638,1381,SF,37.7338,-122.434,2852 DIAMOND St,SF,"LEE, SHEENA",CA,94131,14155332270,94131,H24
MARTHA & BROS. COFFEE CO,1551 Church St,303477,1641,SF,37.746,-122.427,1551 Church,SF,"Guerrero, Jaime",CA,94114,14155641166,94131,H25
Alice's Restaurant,1599 Sanchez St,307626,2664,SF,37.7436,-122.429,1599 SANCHEZ ST,SAN FRANCISCO,ALICES RESTAURANT CORPORATION,CA,94131,14155288999,94131,H25
ERIC'S RESTAURANT,1500 Church St,950880,2684,SF,37.7468,-122.427,1500  CHURCH St,SF,DLE INC.,CA,94131,14155280919,94131,H25
TYGER'S,2798 DIAMOND St,305118,2692,SF,37.7346,-122.434,2798 DIAMOND,SF,"KIM, YOUNG",CA,94131,14155234064,94131,H25
SAFEWAY #667,5290 DIAMOND HEIGHTS Blvd,24669,3819,SAN FRANCISCO,37.7441,-122.439,5290 DIAMOND HEIGHTS,SAN FRANCISCO,"SAFEWAY CORP., PETER MCGOWAN",CA,94131,14155827744,94131,H81
GLEN PARK STATION,2816 DIAMOND St,197239,4383,SF,37.7342,-122.434,2816 DIAMOND ST,SAN FRANCISCO,T.J. & R. PUB INC.,CA,94131,14155334633,94131,H86
DESTINATION BAKING COMPANY,598 Chenery St,316580,5033,SF,37.7346,-122.432,598  CHENERY St,SF,"SCHUVER, JOSEPH",CA,94131,14155460730,94131,H28
ST. JOHN'S SNACK BAR,925 CHENERY St,770180,5959,SF,37.7353,-122.438,925 CHENERY ST,SF,ST. JOHN'S SCHOOL,CA,94131,14155586144,94131,H91
TWIN PEAKS AUTO CARE,598 PORTOLA Dr,149682,7197,SF,37.7456,-122.452,598 PORTOLA DRIVE,SF,"GHARIB, MICHAEL",CA,94131,14150347354,94131,H03
BUDDIES SUPER MARKET,696 CHENERY St,352111,7225,SAN FRANCISCO,37.7346,-122.434,696 CHENERY St,SF,"PARK, JENNIE & SANG CHUL",CA,94131,14155589700,94131,H03
